time,status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03431064,0.245992785,0.151512746,-1.631658509,5.708411383,0.068133115,12.04237274,1,0.877650392,-0.048841052,0,1.762133958,1.394018981,3.166154351,1.178008354,-0.306938379,-0.809715021,4.062460452,0,0,0,0,0,0,9.99407313,0.046648395,0,15.16390137,0.073327672,0,15.24700522,0.107103812,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.034508162,-0.153294022,-0.125380571,-0.140498036,1.376660925,-0.053834885,1.858219964,1,-0.133276444,-0.12537046,1,-0.204451886,-0.053015928,-0.257265809,1.372813288,1.046193285,0.765830488,0.156176858,0,1.254213395,0,0,0,0,1.997137235,-0.083353947,0,1.5449774,-0.102276229,0,1.284909522,-0.113991145,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.028385004,0.916731493,0.269520311,-1.333426415,-0.247745497,0.021222346,-0.34834647,0,0,-0.10457016,1,2.155451127,1.616639736,-0.257265809,0.593593554,-0.004716078,0.961486466,1.132747757,0.654867319,-0.515423504,0.77648585,0.843672775,0.739827331,0.470316275,2.63623662,1.668256555,1.000263687,2.439467319,1.387848304,1.732226971,2.252687184,1.229585899,0.580395338
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.034837364,-0.088587465,-0.134596327,-2.824586888,-0.067255895,-0.008800546,-0.857554109,1,0.009361178,-0.146955678,1,-0.204451886,21.42988695,-0.257265809,-0.380431112,-0.219362598,-0.531677578,-0.332108591,0,-0.515423504,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.033652236,-0.093322091,-0.119300467,0.953019645,2.279108937,-0.055711316,1.009540567,1,0.063369598,-0.061792183,1,0.97549962,0.05829445,-0.257265809,0.203983688,-0.540473793,1.486668302,-0.332108591,-0.351571308,0,0.77648585,-0.30061115,-0.34181593,-0.260923079,1.587458142,0.197177423,-0.265049247,1.179622363,0.103431198,-0.280888139,1.013061865,0.068837377,-0.258752245
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.011119236,2.853193598,11.70395368,2.742412213,0.654702515,0.805570408,0.670068807,0,0,0.691728145,1,0.188865283,-0.053015928,2.025014298,0.593593554,2.747910897,2.413459777,5.5273168,0.439201899,-0.515423504,0.77648585,1.195760137,0.66771778,2.115604821,1.702168289,0.53244662,-0.265049247,2.716633209,0.815881311,-0.280888139,3.557555941,1.051009203,-0.258752245
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.008632884,1.704257646,2.525404824,-0.140498036,2.45959854,0.533487947,0.330597048,1,-0.24683261,-0.108887203,1,-0.204451886,-0.108671116,4.307294405,0.885800954,1.324375175,0.899700368,1.621033206,-0.064017415,0.82521051,0.079474613,0.227519892,0.090841375,0.835935952,2.537913638,1.606676498,-0.265049247,2.200096777,1.307572234,0.222390639,2.133074214,1.229585899,-0.258752245
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.034639842,-0.206953119,-0.137120144,-1.731069208,-0.608724702,-0.063217039,-1.366761747,1,-0.601349418,-0.155589765,1,-0.204451886,-0.219981494,-0.257265809,-0.672638512,-0.961180972,-1.334896857,-0.332108591,0,-0.515423504,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.03431064,0.260196663,-0.101901425,-0.836372924,0.29372331,-0.035070577,-0.687818229,0,0,-0.155589765,0,2.942085464,1.950570869,0.883874245,1.275410821,1.923668259,0.487793045,-0.332108591,-0.351571308,0,0.079474613,-0.21258931,-0.269706379,-0.078113241,3.390046151,0.539288849,-0.265049247,2.9686022,0.499794289,-0.280888139,3.416195159,0.485516334,-0.258752245
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.021800964,1.39019411,1.25666417,-0.140498036,3.723025757,1.434174717,5.762145194,0,0,0.059477495,1,0.188865283,-0.164326305,-0.257265809,-0.380431112,3.761042472,0.920295734,2.597604105,0.367313426,-0.515423504,0.079474613,0.667629094,0.59560823,0.104696598,2.521526474,1.257722844,-0.265049247,2.426868869,1.172106368,0.725669416,2.372300153,1.153053029,1.419542921
